subject,ref,page,book bibliographic info,number,C
"divination, and voice",184.4 (ccsl 104.750),109,147,57648,5802693
"divination, and voice",1083,107,147,57683,5802694
"divination, and war",8.96.2,211,147,6465,5802695
"divination, and war",7.141.3,210,147,6465,5802696
"divination, and war",7.141.4,210,147,6465,5802697
"divination, and war",7.142.3,210,147,6465,5802698
"divination, and war",7.143.1,210,147,6465,5802699
"divination, and war",7.141,210,147,6465,5802700
"divination, and war",7.142,210,147,6465,5802701
"divination, and war",7.142,213,147,6465,5802702
"divination, and war",7.140,209,147,6465,5802703
"divination, and war",7.141,209,147,6465,5802704
"divination, and war",7.142,209,147,6465,5802705
"divination, and war",9.38.2,209,147,6465,5802706
"divination, and war",7.141,213,147,6465,5802707
"divination, and war",9.93,209,147,6465,5802708
"divination, and war",9.94,209,147,6465,5802709
"divination, and war",7.144,211,147,6465,5802710
"divination, and war",8.2,211,147,6465,5802711
"divination, and war",2.112,211,147,6677,5802712
"divination, and war",7.142,216,147,6465,5802713
"divination, and war",7.141.1,210,147,6465,5802714
"divination, and war",10,201,147,57684,5802715
"divination, and war",11.183,201,147,57628,5802716
"divination, and war",29.361,201,147,57628,5802717
"divination, and war",fr.11,206,147,57672,5802718
"divination, and war",122,200,147,57629,5802719
"divination, and war",7.140,214,147,6465,5802720
"divination, and war",6.83.2,200,147,6465,5802721
"divination, and war",7.50.4,214,147,10882,5802722
"divination, and war",8.27.3,200,147,6465,5802723
"divination, and war",8.1.1,214,147,10882,5802724
"divination, and war",9.95,200,147,6465,5802725
"divination, and war",6.69.3,214,147,6465,5802726
"divination, and war",3.124.1,214,147,6465,5802727
"divination, and war",3.20.1,200,147,10882,5802728
"divination, and war",4.68.2,214,147,6465,5802729
"divination, and war",7.140.3,210,147,6465,5802730
"divination, and war",6.69.2,200,147,10882,5802731
"divination, and war",4.67.2,214,147,6465,5802732
"divination, and war",1.8.15,200,147,11232,5802733
"divination, and war",4.67.1,214,147,6465,5802734
"divination, and war",fr.14,206,147,57672,5802735
"divination, and war",7.50.4,206,147,10882,5802736
"divination, and war",7.141,216,147,6465,5802737
"divination, and war",7.140,216,147,6465,5802738
"divination, and war",16.203,211,147,6677,5802739
"divination, and war",8.135,216,147,6465,5802740
"divination, and war",9.36,207,147,6465,5802741
"divination, and war",3.11.6,207,147,57625,5802742
"divination, and war",3.11.7,207,147,57625,5802743
"divination, and war",9.33.1,207,147,6465,5802744
"divination, and war",9.37.1,208,147,6465,5802745
"divination, and war",9.37.2,208,147,6465,5802746
"divination, and war",2.54.4,213,147,10882,5802747
"divination, and war",9.37.4,208,147,6465,5802748
"divination, and war",9.38.1,208,147,6465,5802749
"divination, and war",9.33.1,208,147,6465,5802750
"divination, and war",7.140,215,147,6465,5802751
"divination, and war",2.54.3,213,147,10882,5802752
"divination, and war",4.69.2,215,147,6465,5802753
"divination, and war",4.68.4,215,147,6465,5802754
"divination, and war",2.54.2,213,147,10882,5802755
"divination, and war",62,215,147,140,5802756
"divination, and war",2.21.3,213,147,10882,5802757
"divination, and war",2.17.1,213,147,10882,5802758
"divination, and war",2.8.2,213,147,10882,5802759
"divination, and war",9.35.2,207,147,6465,5802760
"divination, and war",7.140.2,210,147,6465,5802761
"divination, and war",9.35.1,207,147,6465,5802762
"divination, and war",9.33.3,207,147,6465,5802763
"divination, and war",1.48.1,216,147,6465,5802764
"divination, and war",1.48,216,147,6465,5802765
"divination, and war",1.47,216,147,6465,5802766
"divination, and war",24.33,211,147,6677,5802767
"divination, and war",7.140,213,147,6465,5802768
"divination, and war",3.1.4,211,147,11232,5802769
"divination, and war",7.143.1,211,147,6465,5802770
"divination, and war",8.77,211,147,6465,5802771
"divination, and war",7.142,215,147,6465,5802772
"divination, and war",7.140,211,147,6465,5802773
"divination, and war",7.141,211,147,6465,5802774
"divination, and war",7.142,211,147,6465,5802775
"divination, and war",6.27.3,213,147,10882,5802776
"divination, and war",7.219.1,204,147,6465,5802777
"divination, and war",7.220.3,204,147,6465,5802778
"divination, and war",2.4.18,204,147,11240,5802779
"divination, and war",2.4.19,204,147,11240,5802780
"divination, and war",7.141,215,147,6465,5802781
"divination, and war",2.54.5,213,147,10882,5802782
"divination, and war",9.34.1,207,147,6465,5802783
"divination, and war",16.193,202,147,57628,5802784
"divination, and war",7.140,210,147,6465,5802785
"divination, and war",5.1.13,202,147,11240,5802786
"divination, and war",7.141,218,147,6465,5802787
"divination, and war",7.227,205,147,6465,5802788
"divination, and war",7.228,205,147,6465,5802789
"divination, and war",7.219.1,205,147,6465,5802790
"divination, and war",7.140,218,147,6465,5802791
"divination, and war",6.66.3,218,147,6465,5802792
"divination, and war",15.54.2,219,147,4471,5802793
"divination, and war",12.204,202,147,6677,5802794
"divination, and war",7.139.5,219,147,6465,5802795
"divination, and war",7.140,219,147,6465,5802796
"divination, and war",7.141,219,147,6465,5802797
"divination, and war",6.66.2,218,147,6465,5802798
"divination, and war",6.13.2,219,147,57625,5802799
"divination, and war",6.13.3,219,147,57625,5802800
"divination, and war",6.13.4,219,147,57625,5802801
"divination, and war",20,219,147,9594,5802802
"divination, and war",7.139.6,219,147,6465,5802803
"divination, and war",6.4.7,219,147,11240,5802804
"divination, and war",7.226,205,147,6465,5802805
"divination, and war",7.220.4,205,147,6465,5802806
"divination, and war",19.129,203,147,4413,5802807
"divination, and war",19.130,203,147,4413,5802808
"divination, and war",2.78,202,147,131,5802809
"divination, and war",19.281,203,147,4413,5802810
"divination, and war",09-Nov,202,147,57627,5802811
"divination, and war",6.17,203,147,57630,5802812
"divination, and war",12.200,202,147,6677,5802813
"divination, and war",7.221,205,147,6465,5802814
"divination, and war",12.201,202,147,6677,5802815
"divination, and war",ii217,203,147,11482,5802816
"divination, and war",12.202,202,147,6677,5802817
"divination, and war",15.84,203,147,57628,5802818
"divination, and war",7.142,218,147,6465,5802819
"divination, and war",12.203,202,147,6677,5802820
"divination, and war",7.139,210,147,6465,5802821
"divination, and war",11.11.6,205,147,4471,5802822
"divination, and war",4.3.10,203,147,11240,5802823
"divination, and war",7.139.2,218,147,6465,5802824
"divination, and war",16.42,203,147,57628,5802825
"divination, and war",7.142.1,217,147,6465,5802826
"divination, and war",768,218,147,1205,5802827
"divination, and war",767,218,147,1205,5802828
"divination, and war",fr.973 nauck2,212,147,5620,5802829
"divination, and war",10.1,212,147,9619,5802830
"divination, and war",10.3,212,147,9619,5802831
"divination, and war",1.138.3,212,147,10882,5802832
"divination, and war",5.1.12,202,147,11240,5802833
"divination, and war",7.140,212,147,6465,5802834
"divination, and war",7.141,212,147,6465,5802835
"divination, and war",7.142,212,147,6465,5802836
"divination, and war",12.206,202,147,6677,5802837
"divination, and war",1.30.3,217,147,6465,5802838
"divination, and war",12.205,202,147,6677,5802839
"divination, and war",7.142,217,147,6465,5802840
"divination, and war",7.140,217,147,6465,5802841
"divination, and war",6.79,218,147,6465,5802842
"divination, and war",6.80,218,147,6465,5802843
"divination, and war",6.81,218,147,6465,5802844
"divination, and war",5.1.10,202,147,11240,5802845
"divination, and war",5.1.11,202,147,11240,5802846
"divination, and war",7.139.1,218,147,6465,5802847
"divination, and war",7.142,214,147,6465,5802848
"divination, and war",6.84,218,147,6465,5802849
"divination, and war",6.83,218,147,6465,5802850
"divination, and war",7.142,219,147,6465,5802851
"divination, and war",7.141,214,147,6465,5802852
"divination, and war",23.7,206,147,9588,5802853
"divination, and war",7.141,217,147,6465,5802854
"divination, and war",6.82,218,147,6465,5802855
"divination, and war",12.207,202,147,6677,5802856
"divination, and weather signs",11,46,147,57637,5802857
"divination, and weather signs",39.13.9,46,147,7456,5802858
"divination, and weather signs",,46,147,8234,5802859
"divination, and weather signs",8.27,46,147,1085,5802860
"divination, and weather signs",5.576,32,147,6678,5802861
"divination, and weather signs",1.78.98,46,147,57636,5802862
"divination, and weather signs",19.297,46,147,4413,5802863
"divination, and weather signs",5.577,32,147,6678,5802864
"divination, and writing (see textualization)",s.15. epimenides,182,147,57626,5802865
"divination, and writing (see textualization)",1.109,182,147,4479,5802866
"divination, and writing (see textualization)",1.111,182,147,4479,5802867
"divination, and writing (see textualization)",1.110,182,147,4479,5802868
"divination, and writing (see textualization)",15,182,147,57679,5802869
"divination, and writing (see textualization)",244a-245c,137,147,9419,5802870
"divination, and writing (see textualization)",1.34,129,147,2289,5802871
"divination, and writing (see textualization)",1.113,182,147,4479,5802872
"divination, and writing (see textualization)",1.115,182,147,4479,5802873
"divination, and writing (see textualization)",5.7,81,147,57640,5802874
"divination, and writing (see textualization)",1.114,182,147,4479,5802875
"divination, and writing (see textualization)",1.112,182,147,4479,5802876
"divination, and writing (see textualization)",fr.196a,81,147,57638,5802877
Abdera,953a22,244,145,1264,5802878
Abdera,1(3).5,244,145,57722,5802879
Abdera,frag. 70 234,244,145,57724,5802880
Abdera,30.1 237,244,145,1264,5802881
Abdera,"3.10 (8.190,12 k.)",244,145,57723,5802882
Abraham,7.355,108,146,7235,5802883
Abraham,181,102,146,9216,5802884
Abraham,3,102,146,2440,5802885
Abraham,181,101,146,9216,5802886
Abraham,180,101,146,9216,5802887
Abraham,179,101,146,9216,5802888
Abraham,12.31,101,146,6278,5802889
Abraham,12.31 (LXX),102,146,6278,5802890
Abraham,1.233,101,146,7234,5802891
Abraham,19.407a,121,146,57813,5802892
Abraham,2.21,54,146,6281,5802893
Abraham,1.168,96,146,9238,5802894
Abraham,30.9,97,146,6278,5802895
Abraham,9.29.1,53,146,57814,5802896
Abraham,25.3 (LXX),53,146,6284,5802897
Abraham,17.5-15 (LXX),122,146,6284,5802898
Abraham,17.15,122,146,6284,5802899
Abraham,17.14,122,146,6284,5802900
Abraham,17.13,122,146,6284,5802901
Abraham,17.12,122,146,6284,5802902
Abraham,17.11,122,146,6284,5802903
Abraham,17.10,122,146,6284,5802904
Abraham,3.144a,54,146,57813,5802905
Abraham,30.10,97,146,6278,5802906
Abraham,5.838-9a,125,146,57813,5802907
Abraham,2.174,97,146,9238,5802908
Abraham,15.2,110,146,7289,5802909
Abraham,88,99,146,9216,5802910
Abraham,1.14,110,146,7234,5802911
Abraham,178,99,146,9216,5802912
Abraham,4.6,99,146,57804,5802913
Abraham,24.7,121,146,6284,5802914
Abraham,11.40,99,146,6294,5802915
Abraham,19.404,120,146,6677,5802916
Abraham,19.407,120,146,6677,5802917
Abraham,4.91,120,146,57804,5802918
Abraham,15.6,121,146,6284,5802919
Abraham,24.7,120,146,6284,5802920
Abraham,19.418,121,146,6677,5802921
Abraham,77.1,56,146,624,5802922
Abraham,15.8,121,146,6284,5802923
Abraham,7.354,108,146,7235,5802924
Abraham,11.39,99,146,6294,5802925
Abraham,39.14,56,146,624,5802926
Abraham,7.353,108,146,7235,5802927
Abraham,2.175,97,146,9238,5802928
Abraham,11.29,99,146,6294,5802929
Abraham,11.30,99,146,6294,5802930
Abraham,11.31,99,146,6294,5802931
Abraham,11.32,99,146,6294,5802932
Abraham,19.3,110,146,7289,5802933
Abraham,11.33,99,146,6294,5802934
Abraham,11.34,99,146,6294,5802935
Abraham,11.35,99,146,6294,5802936
Abraham,7.351,108,146,7235,5802937
Abraham,11.36,99,146,6294,5802938
Abraham,11.37,99,146,6294,5802939
Abraham,11.38,99,146,6294,5802940
Abraham,7.352,108,146,7235,5802941
Abraham,17.8,122,146,6284,5802942
Abraham,17.9,122,146,6284,5802943
Abraham,17.7,122,146,6284,5802944
Abraham,5.23,142,146,6284,5802945
Abraham,5.24,142,146,6284,5802946
Abraham,5.25,142,146,6284,5802947
Abraham,5.26,142,146,6284,5802948
Abraham,5.27,142,146,6284,5802949
Abraham,5.28,142,146,6284,5802950
Abraham,5.29,142,146,6284,5802951
Abraham,5.30,142,146,6284,5802952
Abraham,5.22,142,146,6284,5802953
Abraham,5.31,142,146,6284,5802954
Abraham,7.356,108,146,7235,5802955
Abraham,25.7,142,146,6284,5802956
Abraham,3.59,142,146,9247,5802957
Abraham,3.60,142,146,9247,5802958
Abraham,17,142,146,57810,5802959
Abraham,60,154,146,9229,5802960
Abraham,14,142,146,9220,5802961
Abraham,3.53,154,146,57804,5802962
Abraham,24.1,142,146,6284,5802963
Abraham,3.43,154,146,57804,5802964
Abraham,4.9,155,146,6284,5802965
Abraham,2.10,155,146,9247,5802966
Abraham,5.8,142,146,6284,5802967
Abraham,5.11,142,146,6284,5802968
Abraham,5.7,142,146,6284,5802969
Abraham,5.6,142,146,6284,5802970
Abraham,5.5,142,146,6284,5802971
Abraham,5.12,142,146,6284,5802972
Abraham,5.4,142,146,6284,5802973
Abraham,5.13,142,146,6284,5802974
Abraham,2.9,155,146,9247,5802975
Abraham,5.14,142,146,6284,5802976
Abraham,5.16,142,146,6284,5802977
Abraham,5.17,142,146,6284,5802978
Abraham,5.18,142,146,6284,5802979
Abraham,5.19,142,146,6284,5802980
Abraham,5.20,142,146,6284,5802981
Abraham,5.21,142,146,6284,5802982
Abraham,1.69,155,146,57804,5802983
Abraham,1.18,155,146,57804,5802984
Abraham,5.15,142,146,6284,5802985
Abraham,1.16,96,146,9238,5802986
Abraham,61,154,146,9229,5802987
Abraham,12.11,98,146,6284,5802988
Abraham,8.185,119,146,6677,5802989
Abraham,4.9,119,146,57804,5802990
Abraham,16.3,173,146,6284,5802991
Abraham,21.5,173,146,6284,5802992
Abraham,73,173,146,9221,5802993
Abraham,77,173,146,9221,5802994
Abraham,78,173,146,9221,5802995
Abraham,125,173,146,57807,5802996
Abraham,24.7 (LXX),119,146,6284,5802997
Abraham,17.5,128,146,6284,5802998
Abraham,24.130,128,146,6677,5802999
Abraham,24.131,128,146,6677,5803000
Abraham,24.132,128,146,6677,5803001
Abraham,1.29-31a,128,146,57813,5803002
Abraham,15.212ab,128,146,57813,5803003
Abraham,24.130-2a,128,146,57813,5803004
Abraham,17.5,122,146,6284,5803005
Abraham,17.6,122,146,6284,5803006
Abraham,17.15,128,146,6284,5803007
Abraham,12.10,98,146,6284,5803008
Abraham,24.7,119,146,6284,5803009
Abraham,15.6,119,146,6284,5803010
